family_uid,domain,omega_attractor_score,return_score,basin_score,return_probability,self_loop_ratio,inbound_unique_sources,inbound_transition_mass,premium_score_max,premium_score_mean
family_s07_e42,cloud,0.6734396729340261,0.9564515998017826,0.8336400868902926,0.8790428608992901,0.5531852660725777,88.0,102566.0,0.5327969228061105,0.4738833396674792
family_s08_e43,cloud,0.6267198468880526,0.9512954402507926,0.6783277584572247,0.8723895767880244,0.497377815505192,96.0,85997.0,0.5369290766999534,0.4867547364550911
family_s09_e44,cloud,0.6085094998444701,0.9472991153563888,0.6184133657321408,0.864141213804046,0.4785112924358192,97.0,77087.0,0.5397913407163016,0.4889960875188974
family_s10_e45,cloud,0.6050316305553265,0.9308628835572434,0.6139240538279656,0.8416905444126075,0.5058868716115403,90.0,67693.0,0.5487069072071945,0.4894258640514514
family_s07_e41,cloud,0.6004810526998463,0.9206700154432466,0.6332138490928342,0.8306981269764048,0.4289676211606462,92.0,57692.0,0.5320406803348658,0.470454920948317
family_s17_e48,cloud,0.5977309210665644,0.8714746570490912,0.6641143225877446,0.7620855479625411,0.747037830121342,66.0,63045.0,0.5448372212508628,0.5038764302267905
family_s09_e43,cloud,0.5883248143877896,0.904083998194746,0.6043640990175648,0.8078397954835961,0.4294285772201163,102.0,49333.0,0.5377120926192047,0.4778471598996954
family_s08_e42,cloud,0.5866845774018239,0.9093331664406852,0.5970512259403083,0.8170930865541643,0.4297377680150847,104.0,51443.0,0.5345522017030235,0.4858389364249584
family_s12_e46,cloud,0.5856841967325851,0.8954096926239576,0.6013192859270542,0.7933560477001703,0.4683893117701533,92.0,44273.0,0.5409341414861857,0.497138713659736
family_s10_e44,cloud,0.582446271916406,0.907633319061994,0.5805969777885231,0.8143087997649479,0.412603734439834,103.0,46272.0,0.5377350648747262,0.4863348938237002
family_s11_e46,cloud,0.5823116142066758,0.9172019797698407,0.5711679737776897,0.82176,0.511515884314605,74.0,51277.0,0.5361226344165421,0.5007353085496657
family_s18_e49,cloud,0.5753851000523061,0.8895890286128771,0.5665110007928174,0.7815521943962311,0.645787770098854,68.0,45724.0,0.5463023336713674,0.512204751349226
family_s13_e47,cloud,0.5728329191306797,0.8822115239573234,0.5741700540728792,0.7763445445338735,0.4750360990780851,76.0,36012.0,0.540719600495188,0.4934092383264895
family_s16_e47,cloud,0.5607952040662177,0.8569130023032979,0.5636561828661448,0.7415948874687414,0.6337190082644628,83.0,39325.0,0.5406480340197307,0.5099080534100382
family_s16_e49,cloud,0.5585540434343241,0.8682429968851431,0.5170323761069268,0.7424522489217499,0.6729254996971532,70.0,39624.0,0.559801809275565,0.5102048756791928
family_s16_e48,cloud,0.5576193330952302,0.864163903924212,0.5402737338695325,0.759245283018868,0.6727400284753317,72.0,48463.0,0.5438509178420641,0.5053699300353893
family_s17_e49,cloud,0.5564347623468952,0.8677777033763593,0.5282499760996895,0.7508926119198023,0.6132754605123862,67.0,37784.0,0.5467009771007265,0.5120491196060957
family_s20_e49,cloud,0.5564127800488676,0.8802941302077125,0.5076825864227003,0.7616875712656784,0.5489730096757766,68.0,23564.0,0.5510521225613976,0.5108577092155258
family_s14_e47,cloud,0.5557149006232256,0.8788435591192595,0.5206944224318736,0.7716763005780347,0.5006790277431336,76.0,36081.0,0.5409742921634954,0.5013584428379134
family_s13_e46,cloud,0.5509897316388116,0.8640150201369139,0.5245317299573551,0.7536297640653358,0.452153184111947,77.0,32301.0,0.5392845993777606,0.4877492017026043
family_s15_e48,cloud,0.5368926888384358,0.8694243049929631,0.467758898378503,0.7587245794627165,0.5083722801696122,73.0,32309.0,0.5418486750836506,0.5103221012755579
family_s17_e48,tree,0.6375103189170401,0.9057763887649865,0.7559825040134205,0.8356935495291369,0.5300304042266859,114.0,60189.0,0.5875015913876583,0.55303086563596
family_s14_e47,tree,0.627948473280481,0.8908522595383627,0.7488991514560392,0.8178135849728478,0.6550772203732957,100.0,65203.0,0.5786526494168722,0.5298011272456923
family_s20_e49,tree,0.6208095904988513,0.8841237062962006,0.7151457607565521,0.814819078316258,0.5461955101969731,123.0,57419.0,0.6000099710507553,0.5649055492369294
family_s17_e49,tree,0.6195315164964449,0.9268394975954184,0.6719022224511078,0.8518280221027932,0.5479503572771719,88.0,58498.0,0.5869946328490401,0.5441458465119963
family_s07_e42,tree,0.6125375669869436,0.9664702653680912,0.6336072604160146,0.8942216451081256,0.5300161490392492,85.0,42727.0,0.5495093555710931,0.4843957858991834
family_s08_e43,tree,0.6110780237799832,0.9682036677375102,0.6246524810018399,0.8934731299927379,0.5347924273442941,96.0,47381.0,0.5519888555369006,0.4949946581222653
family_s16_e48,tree,0.6038629099271728,0.9100369396352443,0.6364318001545418,0.8340362102813932,0.5359138405442361,90.0,59239.0,0.590406506748962,0.5511477290419357
family_s18_e49,tree,0.6016575053086702,0.9198553522253514,0.6166961073020215,0.8470025487936874,0.5203468867418143,98.0,59616.0,0.5915213579220981,0.5533400658083848
family_s09_e44,tree,0.5925612520079534,0.9683354003315562,0.5601526108872495,0.8935682502584386,0.5626329892032469,89.0,50756.0,0.5551355381840489,0.4848232278604972
family_s15_e48,tree,0.5923627916101407,0.9120030519045984,0.6047082510860232,0.8376068376068376,0.5533885199672519,87.0,54965.0,0.5797273307648976,0.5263296507937103
family_s16_e47,tree,0.5918533997398597,0.8698892136885171,0.6477764771088514,0.7977179709785439,0.5684718498659518,115.0,55950.0,0.5849645214226625,0.5447342216543964
family_s07_e41,tree,0.5876728718759562,0.9528737854185836,0.5687879103205902,0.8784831460674157,0.5185145172180958,84.0,37025.0,0.5468702499858594,0.4775416295787488
family_s08_e42,tree,0.5814725826635112,0.9362830522901509,0.5457401149392389,0.8562195121951219,0.4820243887028496,103.0,31654.0,0.5729398142768153,0.476448473681073
family_s09_e43,tree,0.578185062522049,0.93105851909347,0.5554100689128905,0.8496413199426112,0.4780408945304314,97.0,33403.0,0.5555092685191108,0.4810627042246648
family_s16_e49,tree,0.5726508044625775,0.9288667057088038,0.5180706459873679,0.847401822779978,0.5462611449768966,76.0,46097.0,0.5812346032000397,0.541571203515809
family_s10_e45,tree,0.5716824953796492,0.932887405600874,0.5292911534466284,0.8533763788001076,0.5856948259306403,76.0,44781.0,0.5582798057174059,0.4897577702490075
family_s11_e46,tree,0.5633457594112433,0.91457443891279,0.5198850028837478,0.8309388783868935,0.588480887920751,68.0,38562.0,0.5618565217869208,0.5012844332646108
family_s12_e46,tree,0.563291717254005,0.8698069402957076,0.5662443308338279,0.791696113074205,0.5357425769619493,88.0,36609.0,0.5686800823336762,0.5166361912116441
family_s13_e46,tree,0.5610369167674951,0.8444620085748096,0.5845487031690288,0.7666609066298025,0.5784559270516717,105.0,41125.0,0.5731761821685504,0.5110186908222382
family_s10_e44,tree,0.5554316382393647,0.8986877559682809,0.514425608173044,0.8124919177550757,0.4885841731372873,83.0,30265.0,0.5589941666657516,0.5070412663746465
family_s13_e47,tree,0.5553359408420476,0.8635268779381052,0.5436334654250389,0.78552117753079,0.5843671835917958,90.0,39980.0,0.5727799542628819,0.519098828690853
family_s15_e48,sun,0.6507982504394036,0.9081869928170176,0.8143837492089939,0.8165042235217674,0.6529265536723163,66.0,88500.0,0.5403807907980366,0.4894398831524733
family_s12_e46,sun,0.6433350311180835,0.9069826602114718,0.8056409909327833,0.8103009432549783,0.6046566460359564,62.0,67860.0,0.5292423130169237,0.4777240232308835
family_s13_e47,sun,0.6429012844723285,0.9096438093769916,0.7942902211972492,0.8132012239545389,0.6894851144692788,54.0,88408.0,0.5343846640862198,0.4972894300633101
family_s17_e49,sun,0.6377635547874754,0.9116280367690937,0.7642043786548813,0.8178765590022385,0.6643491282490106,49.0,74792.0,0.5424344979873649,0.499781674457994
family_s18_e49,sun,0.6235532727526796,0.8935656901360046,0.7382795970081193,0.7938311688311688,0.6851714919515386,59.0,70324.0,0.542154638757095,0.5099606326709382
family_s16_e48,sun,0.6091409848382914,0.8930852714354781,0.6915674442776736,0.8016767851980341,0.6364693446088795,60.0,75680.0,0.5415736380917,0.497840006417603
family_s14_e47,sun,0.6082076787710471,0.89413219727365,0.6941249905080866,0.8011794439764112,0.6018145161290323,53.0,71424.0,0.5363634512693365,0.4966732030337418
family_s13_e46,sun,0.6030108811164524,0.863777600397251,0.7183161824785405,0.7588334268087493,0.5693776066730831,61.0,49872.0,0.5317505286322906,0.4900274927185273
family_s17_e48,sun,0.6009750141272148,0.8473965389666688,0.7190700211630909,0.755330377876293,0.5857843137254902,74.0,45696.0,0.5405006253159383,0.4989873761968093
family_s16_e49,sun,0.5888977613516093,0.8947691682843786,0.6242656126858223,0.7959044368600683,0.6303634528016153,39.0,63392.0,0.5399552795133172,0.4882558777266193
family_s10_e44,sun,0.5884106966993395,0.8830461488498638,0.6640462986533787,0.7832431160273006,0.5793478260869566,61.0,40480.0,0.518987900062698,0.4677649268639318
family_s09_e44,sun,0.5843587469956196,0.897933841141661,0.6377977163754407,0.7881698685540951,0.6333486872409028,45.0,43420.0,0.5154890557781955,0.4594812314182437
family_s10_e45,sun,0.5800259308822809,0.8910639039122034,0.6265943065311571,0.786088613625536,0.6042018383042581,45.0,42648.0,0.5191003656827318,0.480174326126065
family_s16_e47,sun,0.5712354016228423,0.7814580662755124,0.7013185303840301,0.68209786111925,0.6358227982577287,66.0,37652.0,0.5371337816218418,0.49820903011592
family_s20_e49,sun,0.571210777332332,0.8640343154710086,0.5963661421451656,0.769927536231884,0.6819974983161744,49.0,41572.0,0.5435851685831313,0.5078156769320259
family_s08_e43,sun,0.5663766558412172,0.8832797138889267,0.601546503528864,0.7650712458896602,0.5748116254036598,50.0,26012.0,0.5105037400080543,0.4551877795724864
family_s09_e43,sun,0.5564260070427635,0.8552868047315805,0.597532710030289,0.7444585180493983,0.5642611683848797,54.0,29100.0,0.5131529713324561,0.4645564344371976
family_s11_e46,sun,0.5521778775331949,0.8764578817494825,0.5437765767539421,0.7699954812471758,0.6355876015249461,44.0,48264.0,0.5244173764203865,0.4680847831772489
family_s07_e41,sun,0.5215570161267865,0.8354471639400216,0.5162256138979467,0.6956521739130435,0.4985771200910643,49.0,14056.0,0.5042475141053719,0.4472577315126666
family_s08_e42,sun,0.5190159414488634,0.8281855505792777,0.5119142514874192,0.7015977443609023,0.5427038626609442,48.0,18640.0,0.507508991465405,0.4494622334097886
family_s07_e42,sun,0.5180478372311583,0.84947628668486,0.4844448447212543,0.7196749854904236,0.6309446955024747,44.0,18588.0,0.507057693133117,0.4532014581798901
family_s16_e49,windshield,0.6544453096709248,0.9164985444221152,0.783098945407276,0.8609731876861966,0.866342572132079,57.0,158390.0,0.5993155965935931,0.5499491354586575
family_s14_e47,windshield,0.6414244583032533,0.908329577337371,0.7556670407470947,0.8552244657910214,0.8633999049296011,66.0,149363.0,0.5919171386032208,0.5336659935378899
family_s18_e49,windshield,0.6357114366562227,0.8979228555049791,0.7438457223918138,0.8297226277372263,0.783751418126812,78.0,79330.0,0.5975679155151978,0.5328984052407996
family_s16_e48,windshield,0.6175331987910919,0.904080637846542,0.6753637061799196,0.8397892624184646,0.7935608806412194,66.0,96566.0,0.598376414244248,0.5422653733682493
family_s17_e49,windshield,0.6156496975633956,0.9296432318201532,0.6345936388869005,0.8776201164073496,0.8365279094128797,67.0,160376.0,0.6037395629639496,0.5575919695722582
family_s09_e43,windshield,0.6096214114709072,0.9083190037180084,0.6565959730738415,0.8576482830385016,0.798572007433386,73.0,71569.0,0.5839600679669485,0.483510302520796
family_s13_e46,windshield,0.6081726111386955,0.9013561372680926,0.6628288368989408,0.8473268304728979,0.7184792986719902,74.0,57605.0,0.5805840747716626,0.5157371224780026
family_s15_e48,windshield,0.6044408289630645,0.9069879892476618,0.6299352271631695,0.8528894173602853,0.7864146725600772,59.0,98415.0,0.596533065226816,0.5319288964439489
family_s10_e44,windshield,0.6003298967645924,0.9198753472470969,0.6259191735351365,0.875165523052847,0.7609327767381604,71.0,69470.0,0.5681334474407127,0.5135906454923003
family_s13_e47,windshield,0.5859254116909758,0.9013753959931824,0.5869812549102087,0.8418923124805477,0.7576727404477589,66.0,66241.0,0.5824999305732983,0.5213522454734514
family_s12_e46,windshield,0.5740466052064588,0.8990560470288675,0.5545538522740103,0.8420599721983186,0.7812894519176353,67.0,68913.0,0.5773734137505993,0.4981111607851777
family_s17_e48,windshield,0.5729173421907001,0.8486645646098354,0.6004244555146278,0.7439146049481244,0.6927622313391709,73.0,32662.0,0.5878904586022632,0.546456294112342
family_s09_e44,windshield,0.5727334734760203,0.9114618740114704,0.549881124302237,0.8585901224145209,0.8171309514623042,46.0,64795.0,0.5610866914554242,0.5025011499968559
family_s08_e42,windshield,0.5694151978169548,0.8948454224531384,0.5617972250079346,0.8370572207084469,0.762469540465357,58.0,46373.0,0.5569613659198115,0.4715514714584764
family_s08_e43,windshield,0.5672400173701428,0.9095516672509364,0.5393530141173197,0.8521602821593024,0.8358709136900446,56.0,62067.0,0.5547056031944018,0.4741259148032754
family_s20_e49,windshield,0.5660703320969493,0.8485880505554602,0.5755228253816295,0.761248654467169,0.7296589454079851,77.0,17182.0,0.5903803967987716,0.5361646901299497
family_s11_e46,windshield,0.560115679034492,0.872341005881138,0.5447351351474885,0.7889055151774262,0.7590832005755691,49.0,38918.0,0.5711125762890117,0.5059098011241904
family_s07_e41,windshield,0.5598003912619924,0.8524414765944491,0.5839139938505036,0.7708278233271622,0.8103668781503122,67.0,39877.0,0.5515681771888452,0.4805912773578375
family_s10_e45,windshield,0.5548912636671144,0.8894751826328432,0.511580552333801,0.8247802665154522,0.7803047579558412,38.0,48235.0,0.5662304019543662,0.4978211889712524
family_s16_e47,windshield,0.5548772397828984,0.7924314956406259,0.6121861226661526,0.658503168350745,0.6865271068169619,87.0,18630.0,0.5806647453092906,0.5215248204566261
family_s07_e42,windshield,0.5454399360759208,0.8921068869630155,0.4929793521574204,0.8282924182829242,0.7829158449356842,46.0,33973.0,0.5478808738407163,0.4904247681863088
